player_name,rain_group,games,AB,H,season_avg,weather_avg,weather_diff,sample_weight,signal_score,signal_strength
오재일,비없음,90,334,102,0.2962962962962963,0.30538922155688625,0.009092925260589968,18.275666882497067,0.1661792730499851,0.1661792730499851
오지환,비,37,128,34,0.26018099547511314,0.265625,0.0054440045248868585,11.313708498984761,0.06159188026172395,0.06159188026172395
오지환,비없음,87,314,81,0.26018099547511314,0.25796178343949044,-0.0022192120356226974,17.72004514666935,-0.039324537461266185,0.039324537461266185
오태곤,비,29,85,27,0.2537764350453172,0.3176470588235294,0.06387062377821218,9.219544457292887,0.5888580554382553,0.5888580554382553
오태곤,비없음,75,246,57,0.2537764350453172,0.23170731707317074,-0.022069117972146474,15.684387141358123,-0.3461405901434496,0.3461405901434496
윌리엄슨,비,17,63,17,0.2727272727272727,0.2698412698412698,-0.002886002886002881,7.937253933193772,-0.022906937758134942,0.022906937758134942
윌리엄슨,비없음,23,91,25,0.2727272727272727,0.27472527472527475,0.0019980019980020414,9.539392014169456,0.01905972430403529,0.01905972430403529
윌슨,비,25,83,20,0.2510822510822511,0.24096385542168675,-0.010118395660564328,9.1104335791443,-0.09218297159307322,0.09218297159307322
윌슨,비없음,43,148,38,0.2510822510822511,0.25675675675675674,0.00567450567450567,12.165525060596439,0.06903334098969542,0.06903334098969542
유강남,비,35,108,33,0.27040816326530615,0.3055555555555556,0.035147392290249435,10.392304845413264,0.3652624152016,0.3652624152016
유강남,비없음,87,284,73,0.27040816326530615,0.25704225352112675,-0.013365909744179394,16.852299546352718,-0.22524631471842577,0.22524631471842577
유민상,비,23,70,22,0.2914285714285714,0.3142857142857143,0.022857142857142854,8.366600265340756,0.19123657749350295,0.19123657749350295
유민상,비없음,35,105,29,0.2914285714285714,0.2761904761904762,-0.015238095238095217,10.246950765959598,-0.1561440116717651,0.1561440116717651
유한준,비,32,123,35,0.3169164882226981,0.2845528455284553,-0.0323636426942428,11.090536506409418,-0.35893016078089024,0.35893016078089024
유한준,비없음,98,344,113,0.3169164882226981,0.32848837209302323,0.01157188387032515,18.547236990991408,0.21462647257515144,0.21462647257515144
윤석민,비,15,41,10,0.2246376811594203,0.24390243902439024,0.01926475786496995,6.4031242374328485,0.12335463801346419,0.12335463801346419
